2026-05-26 15:08:56,821 - INFO - Input path: URL_FR.xlsx | 输入路径: URL_FR.xlsx
2026-05-26 15:08:56,821 - INFO - Output path: URL_SCAN_RESULT_20260526_150851.xlsx | 输出路径: URL_SCAN_RESULT_20260526_150851.xlsx
2026-05-26 15:08:56,844 - INFO - Loaded 714 URLs | 加载了714个URL
2026-05-26 15:08:56,844 - INFO - Start multi-thread scan with 10 threads | 启动10线程多线程扫描
2026-05-26 15:09:02,346 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:02,357 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:02,359 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:02,641 - INFO - Scan success | 扫描成功: https://api-be.bnpparibas-pf.com -> https://api-be.bnpparibas-pf.com/
2026-05-26 15:09:02,658 - INFO - Scan success | 扫描成功: https://api-dvt-i.staging.bnpparibas-pf.com -> https://api-dvt-i.staging.bnpparibas-pf.com/
2026-05-26 15:09:02,659 - INFO - Scan success | 扫描成功: https://api-de-i.bnpparibas-pf.com -> https://api-de-i.bnpparibas-pf.com/
2026-05-26 15:09:02,744 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:03,011 - INFO - Scan success | 扫描成功: https://api-de.bnpparibas-pf.com -> https://api-de.bnpparibas-pf.com/
2026-05-26 15:09:03,056 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:03,336 - INFO - Scan success | 扫描成功: https://api-de.uat.staging.bnpparibas-pf.com -> https://api-de.uat.staging.bnpparibas-pf.com/
2026-05-26 15:09:04,483 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:04,772 - INFO - Scan success | 扫描成功: https://api-dvt.staging.bnpparibas-pf.com -> https://api-dvt.staging.bnpparibas-pf.com/
2026-05-26 15:09:05,198 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:05,202 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:05,502 - INFO - Scan success | 扫描成功: https://api-es-i.bnpparibas-pf.com -> https://api-es-i.bnpparibas-pf.com/
2026-05-26 15:09:05,503 - INFO - Scan success | 扫描成功: https://api-es.bnpparibas-pf.com -> https://api-es.bnpparibas-pf.com/
2026-05-26 15:09:05,835 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:05,962 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:06,117 - INFO - Scan success | 扫描成功: https://api-it.bnpparibas-pf.com -> https://api-it.bnpparibas-pf.com/
2026-05-26 15:09:06,239 - INFO - Scan success | 扫描成功: https://api-de-i.uat.staging.bnpparibas-pf.com -> https://api-de-i.uat.staging.bnpparibas-pf.com/
2026-05-26 15:09:07,142 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:07,410 - INFO - Scan success | 扫描成功: https://api-it-i.bnpparibas-pf.com -> https://api-it-i.bnpparibas-pf.com/
2026-05-26 15:09:07,919 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:07,939 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:09:08,281 - INFO - Scan success | 扫描成功: https://api-ppbe.bnpparibas-pf.com -> https://api-ppbe.bnpparibas-pf.com/
